,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"TELEGRAPH & WOOLSEY",,,,,,DATE:,,2003/09/16,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",1,0,4,0,0,1,,0,0,2,1,0,2
"7:30 - 8:00",1,0,21,0,0,3,,0,0,2,0,0,4
"7-8 TOTALS",2,0,25,0,0,4,,0,0,4,1,0,6
"8:00 - 8:30",0,0,15,0,0,4,,0,0,3,1,0,7
"8:30 - 9:00",1,0,23,0,0,6,,0,1,3,1,0,5
"8-9 TOTALS",1,0,38,0,0,10,,0,1,6,2,0,12
"11:00 - 11:30",0,0,6,3,0,10,,0,0,0,1,0,4
"11:30 - 12:00",0,0,12,0,0,9,,0,1,5,0,0,6
"11-12 TOTALS",0,0,18,3,0,19,,0,1,5,1,0,10
"12:00 - 12:30",0,0,7,0,0,12,,0,0,1,0,0,10
"12:30 - 1:00",0,0,8,0,0,5,,0,1,4,1,0,11
"12-1 TOTALS",0,0,15,0,0,17,,0,1,5,1,0,21
"4:00 - 4:30",0,0,6,2,0,11,,1,2,5,0,0,9
"4:30 - 5:00",1,1,6,0,0,10,,0,0,6,0,0,13
"4-5 TOTALS",10,1,12,2,0,21,,1,2,11,0,0,22
"5:00 - 5:30",0,0,7,0,0,14,,1,0,10,1,0,8
"5:30 - 6:00",0,0,8,2,0,8,,0,0,6,0,0,11
"5-6 TOTALS",0,0,15,2,0,22,,1,0,16,1,0,19
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
,"WOOLSEY EASTBOUND",,,,,,"          ","WOOLSEY WESTBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",1,0,1,1,0,5,,0,0,4,0,0,11
"7:30 - 8:00",1,0,1,1,0,9,,0,0,4,0,0,5
"7-8 TOTALS",2,0,2,2,0,14,,0,0,8,0,0,16
"8:00 - 8:30",1,0,3,1,0,13,,1,0,2,0,0,9
"8:30 - 9:00",1,0,3,1,0,10,,3,0,4,0,0,13
"8-9 TOTALS",2,0,6,2,0,23,,4,0,6,0,0,22
"11:00 - 11:30",0,0,1,2,0,6,,0,0,0,2,0,13
"11:30 - 12:00",1,0,4,1,0,14,,0,0,0,2,0,25
"11-12 TOTALS",1,0,5,3,0,20,,0,0,0,4,0,38
"12:00 - 12:30",1,0,4,1,0,14,,0,0,2,3,1,15
"12:30 - 1:00",0,0,3,1,0,14,,0,0,0,2,0,18
"12-1 TOTALS",1,0,7,2,0,28,,0,0,2,5,1,33
"4:00 - 4:30",0,0,2,2,0,17,,0,1,3,1,0,16
"4:30 - 5:00",2,0,6,1,0,13,,1,0,1,2,0,21
"4-5 TOTALS",2,0,8,3,0,30,,1,1,4,3,0,37
"5:00 - 5:30",0,0,6,2,0,18,,0,0,4,2,0,9
"5:30 - 6:00",0,1,7,2,0,7,,1,0,1,3,0,10
"5-6 TOTALS",0,1,13,4,0,25,,1,0,5,5,0,19
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
