,"Mandela Northbound",,,,,,,"Mandela Southbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
4:00-4:30,,,3,2,,16,,,,1,,,15
4:30-5:00,,,3,2,,9,,1,,4,5,,6
"4-5pm Totals:",,,6,4,,25,,1,,5,5,,21
5:00-5:30,1,,3,1,,25,,,,8,2,,10
5:30-6:00,,,1,1,,13,,,,3,1,,1
"5-6 pm Totals",1,,4,2,,38,,,,11,3,,11
"4-6 pm Totals",1,,10,6,,63,,1,,16,8,,32
"Total # of Bikes NB: ",,17,,,,,,"Total # of Bikes SB: ",,,25,,
,,,,,,,,,,,,,
,"8th St. Eastbound",,,,,,,"8th St. Westbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
4:00-4:30,,,1,1,,8,,,,1,,,3
4:30-5:00,,2,1,,,8,,,,2,,,9
"4-5pm Totals:",,2,2,1,,16,,,,3,,,12
5:00-5:30,1,,,,,1,,,,1,2,,11
5:30-6:00,,,1,1,,6,,,,,,,4
"5-6 pm Totals",1,,1,1,,7,,,,1,2,,15
"4-6 pm Totals",1,2,3,2,,23,,,,4,2,,27
"Total # of Bikes EB: ",,8,,,,,,"Total # of Bikes WB: ",,,6,,
,,,,,,,,,,,,,
,,,,"Total # of Bikes Counted (4-6 pm): ",,,,,56,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,"Total # of Bikes Using Facilities (4-6): ",,,,,38,,,,
