,"Telegraph Northbound",,,,,,,"Telegraph Southbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
3:00-3:30,,1,5,,1,11,,,1,4,1,2,18
3:30-4:00,,2,4,1,2,13,,,1,1,2,2,16
"3-4pm Totals: ",,3,9,1,3,24,,,2,5,3,4,34
4:00-4:30,,,6,2,1,14,,,1,5,1,,11
4:30-5:00,,,8,2,1,14,,,1,9,1,,9
"4-5pm Totals:",,,14,4,2,28,,,2,14,2,,20
5:00-5:30,,,14,2,3,11,,,4,4,3,1,14
5:30-6:00,,,12,1,,20,,,1,5,1,1,8
"5-6 pm Totals",,,26,3,3,31,,,5,9,4,2,22
"3-6 pm Totals",,3,49,8,8,83,,,9,28,9,6,76
"Total # of Bikes NB: ",,68,,,,,,"Total # of Bikes SB: ",,,52,,
,,,,,,,,,,,,,
,"27th St. Eastbound",,,,,,,"27th St. Westbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
3:00-3:30,,,2,,,2,,,,,2,,8
3:30-4:00,,,,,,6,,,,1,,,4
"3-4pm Totals: ",,,2,,,8,,,,1,2,,12
4:00-4:30,,,,1,,3,,1,,,,,6
4:30-5:00,,,2,1,,3,,,,1,,,8
"4-5pm Totals:",,,2,2,,6,,1,,1,,,14
5:00-5:30,,2,,,,2,,2,,,,,8
5:30-6:00,,,3,1,,5,,4,1,,,,10
"5-6 pm Totals",,2,3,1,,7,,6,1,,,,18
"3-6 pm Totals",,2,7,3,,21,,7,1,2,2,,44
"Total # of Bikes EB: ",,12,,,,,,"Total # of Bikes WB: ",,,12,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,"Total # of cyclists on street (3-6 PM):",108
,,,,,,,,,,,,"Total # of cyclists on sidewalks (3-6 PM):",22
,,,,,,,,,,,,"Total # of cyclists on buses (3-6 PM):",14
,,,,,,,,,,,,"Grand Total (3-6 PM):",144
