,"Northbound: 96th Avenue",,,,,,,"Southbound: 96th Avenue",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
11:30-12:00,,,,,,,,,,1,,,
12:00-12:30,,,,1,,,,,,,,,
"11:30-12:30pm Total:",,,,1,,,,,,1,,,
12:30-1:00,,,,,,,,,,,,,
1:00-1:30,,,,,,,,,,,,,
"12:30-1:30pm Total:",,,,,,,,,,,,,
"11:30-1:30 pm Total:",,,,1,,,,,,1,,,
"Total # of Bikes NB: ",,1,,,,,,"Total # of Bikes SB: ",,,1,,
,,,,,,,,,,,,,
,"Eastbound: Bancroft Avenue",,,,,,,"Westbound: Bancroft Avenue",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
11:30-12:00,,,1,,,,,,1,1,1,,
12:00-12:30,,1,1,,,,,,,,1,,
"11:30-12:30pm Total:",,1,2,,,,,,1,1,2,,
12:30-1:00,,,,,,,,,1,,2,,
1:00-1:30,,,1,,,,,,,1,,,
"12:30-1:30pm Total:",,,1,,,,,,1,1,2,,
"11:30-1:30 pm Total:",,1,3,,,,,,2,2,4,,
"Total # of Bikes EB: ",,4,,,,,,"Total # of Bikes WB: ",,,8,,
,,,,,,,,,,,,,
,,,"Total # of Bikes Counted (11:30-1:30 pm): ",,,,,,14,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,,,,,,,,,,
