,"Northbound: Oakland Avenue",,,,,,,"Southbound: Oakland Avenue",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
11:30-12:00,,,,,,,,,,,,,
12:00-12:30,,,1,,,,,,,,,,
"11:30-12:30pm Total:",,,1,,,,,,,,,,
12:30-1:00,1,,,,,,,,,,,,
1:00-1:30,,2,2,,,,,,,,,,
"12:30-1:30pm Total:",1,2,2,,,,,,,,,,
"11:30-1:30 pm Total:",1,2,3,,,,,,,,,,
"Total # of Bikes NB: ",,6,,,,,,"Total # of Bikes SB: ",,,,,
,,,,,,,,,,,,,
,"Eastbound: Pearl Street",,,,,,,"Westbound: Pearl Street",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
11:30-12:00,,,,,,,,,,,,,
12:00-12:30,,,,,,,,,,,,,
"11:30-12:30pm Total:",,,,,,,,,,,,,
12:30-1:00,,,,,,,,,,,,,
1:00-1:30,,,,,,,,,,,,,
"12:30-1:30pm Total:",,,,,,,,,,,,,
"11:30-1:30 pm Total:",,,,,,,,,,,,,
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB: ",,,,,
,,,,,,,,,,,,,
,,,"Total # of Bikes Counted (11:30-1:30pm): ",,,,,,6,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,,,,,,,,,,
