,"Northbound: Monterey Blvd",,,,,,,"Southbound: Monterey Blvd",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
11:30-12:00,,,2,,,,,,,,,,
12:00-12:30,,,,,,,,,,,,,
"11:30-12:30pm Total:",,,2,,,,,,,,,,
12:30-1:00,1,,,,,,,,,1,,,
1:00-1:30,4,,,,,,,,,,,,
"12:30-1:30pm Total:",5,,,,,,,,,1,,,
"11:30-1:30 pm Total:",5,,2,,,,,,,1,,,
"Total # of Bikes NB: ",,7,,,,,,"Total # of Bikes SB: ",,,1,,
,,,,,,,,,,,,,
,"Eastbound: Joaquin Miller",,,,,,,"Westbound: Lincoln Avenue",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
11:30-12:00,,,2,,,,,,,,,,
12:00-12:30,,,,,,,,,,,,,
"11:30-12:30pm Total:",,,2,,,,,,,,,,
12:30-1:00,,1,,,,,,,,,,,
1:00-1:30,,1,,,,,,,,,,,
"12:30-1:30pm Total:",,2,,,,,,,,,,,
"11:30-1:30 pm Total:",,2,2,,,,,,,,,,
"Total # of Bikes EB: ",,4,,,,,,"Total # of Bikes WB: ",,,,,
,,,,,,,,,,,,,
,,,"Total # of Bikes Counted (11:30-1:30pm): ",,,,,,12,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,,,,,,,,,,
