,"29th Ave Northbound",,,,,,,"29th Ave Southbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
2:00-2:30,,,,,,,,,,,,,1
2:30-3:00,,,,,,,,,,,,,1
"2-3pm Totals:",,,,,,,,,,,,,2
3:00-3:30,,,,,,,,,,,,,
3:30-4:00,,,,,,,,,,,,,1
"3-4 pm Totals",,,,,,,,,,,,,1
"2-4 pm Totals",,,,,,,,,,,,,3
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB: ",,,,,
,,,,,,,,,,,,,
,"E. 8th St. Eastbound",,,,,,,"E. 8th St. Westbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
2:00-2:30,,,,,,2,,,,,,,
2:30-3:00,,,,,,4,,,,,,,
"2-3pm Totals:",,,,,,6,,,,,,,
3:00-3:30,,,,,,,,,,,,,
3:30-4:00,,,,,,2,,,,,,,
"3-4 pm Totals",,,,,,2,,,,,,,
"2-4 pm Totals",,,,,,8,,,,,,,
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB: ",,,,,
,,,,,,,,,,,,,
,,,,"Total # of Bikes Counted (2-4 pm): ",,,,,,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,,,,,,,,,,
