,,,,,,,,,,,,,"National Data & Surveying Services",,,,,,,,,,,,,,
"5th Ave and Embarcadero , City of Oakland",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Peak Hour Summary",,,,,,,,,,,,,"Project #:",,,"10-7381 Bikes-034",,,
Date:,,2010/10/14,,,,,,"Southbound Approach",,,,,,,,,,,,,,,,,,,
Day:,,2010/10/14,,,,"5th Ave",,,,,,,,,,,,Lanes,N,,,,,,,,
,,,,,,,,,4,,,,0,,,,7,AM,,"AM Peak Hour:",,,,,"800 AM",,
,,,,,,,,,,,,,,,,,,,,"NOON Peak Hour:",,,,,,,
,,,,,,,,,0,,,,0,,,,0,NOON,,"PM Peak Hour:",,,,,"515 PM",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,6,,,,2,,,,2,PM,,,,,,,,,
,Embarcadero,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eastbound Approach",Lanes,AM,,NOON,,PM,,,,,,,,,,,,,,AM,,NOON,,PM,Lanes,,"Westbound Approach"
,,0,,0,,3,,,,,,,,,,,,,,4,,0,,8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,0,,26,,,,,,,,,,,,,,24,,0,,9,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,0,,0,,,,,,,,,,,,,,1,,0,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,0,,,,0,AM,,,"Count Periods",,Start:,,End:,,
,,,,,,,,,,,,,,,,,,,,,AM,,07:00:00,,09:00:00,,
,,,,,,,,,0,,,,0,,,,0,NOON,,,NOON,,00:00:00,,00:00:00,,
,,,,,,,,,,,,,,,,,,,,,PM,,16:00:00,,19:00:00,,
,,,,,,,,,0,,,,2,,,,1,PM,,,,,,,,,
Control:,,0,,,,,,,,,,,,,,,,Lanes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Northbound Approach",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
