,,,,,,,,"Turning Movement Report",,,,,,,,,,,,,
,,,,"Metro Traffic Data Inc.",,,,,,,,,,,,,,,,,
,,,,"310 N. Irwin Street - Suite 20",,,,,,,,,,,,,,,,,
,,,,"Hanford, CA 93230",,,,,,,,,,,"Prepared For:",,,,,,"Debbie Yueh"
,,,,,,,,,,,,,,,,,,,,,"Kittelson Associates, Inc."
,,,,"800-975-6938  Phone/Fax",,,,,,,,,,,,,,,,,"180 Grand Avenue, Suite 250"
,,,,www.metrotrafficdata.com,,,,,,,,,,,,,,,,,"Oakland, CA 94612"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,LOCATION,"Foothill Boulevard @ 38th Avenue",,,,,,,,,LATITUDE," 37.778991°",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,COUNTY,Alameda,,,,,,,,,LONGITUDE,-122.216715°,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"COLLECTION DATE",2012/09/13,,,,,,,,,WEATHER,"Sunny and Clear",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"Northbound Vehicles",,,"N-Leg Peds",,"Southbound Vehicles",,,"S-Leg Peds",,"Eastbound Vehicles",,,"E-Leg Peds",,"Westbound Vehicles",,,"W-Leg Peds",
,Time,Left,Thru,Right,,,Left,Thru,Right,,,Left,Thru,Right,,,Left,Thru,Right,,
,"4:00 PM - 4:15 PM",6,44,13,3,,10,29,12,18,,12,125,19,2,,8,121,17,7,
,"4:15 PM - 4:30 PM",11,39,7,9,,13,25,8,14,,14,127,15,18,,6,108,19,3,
,"4:30 PM - 4:45 PM",9,28,11,10,,13,28,10,28,,11,134,13,29,,6,95,20,3,
,"4:45 PM - 5:00 PM",3,44,15,5,,12,30,15,10,,12,132,16,14,,10,119,25,5,
,"5:00 PM - 5:15 PM",11,52,12,11,,14,41,21,26,,28,155,19,9,,12,147,20,7,
,"5:15 PM - 5:30 PM",5,57,13,15,,12,53,15,32,,14,138,14,1,,4,141,21,11,
,"5:30 PM - 5:45 PM",10,63,15,8,,12,64,11,20,,21,171,15,12,,11,134,24,9,
,"5:45 PM - 6:00 PM",8,58,14,9,,13,59,14,23,,16,167,13,8,,8,128,22,8,
,TOTAL,63,385,100,70,,99,329,106,171,,128,1149,124,93,,65,993,168,53,
,,,,,,,,,,,,,,,,,,,,,
,,"Northbound Bicyclists",,,,,"Southbound Bicyclists",,,,,"Eastbound Bicyclists",,,,,"Westbound Bicyclists",,,,
,Time,Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus
,"4:00 PM - 4:15 PM",0,0,2,0,0,1,1,0,0,0,0,2,1,2,0,0,3,0,0,0
,"4:15 PM - 4:30 PM",0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0
,"4:30 PM - 4:45 PM",2,1,0,2,0,0,1,0,1,0,0,3,1,1,1,0,5,0,0,0
,"4:45 PM - 5:00 PM",0,1,0,0,0,0,0,0,0,0,1,2,1,2,1,0,1,0,0,0
,"5:00 PM - 5:15 PM",0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,4,0,0,0
,"5:15 PM - 5:30 PM",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0
,"5:30 PM - 5:45 PM",1,1,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0
,"5:45 PM - 6:00 PM",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0
,TOTAL,3,5,2,2,0,1,3,0,1,0,3,15,9,7,3,0,17,2,0,0
,,,,,,,,,,,,,,,,,,,,,
,,"Northbound Vehicles",,,"N-Leg Peds",,"Southbound Vehicles",,,"S-Leg Peds",,"Eastbound Vehicles",,,"E-Leg Peds",,"Westbound Vehicles",,,"W-Leg Peds",
,"PEAK HOUR",Left,Thru,Right,,,Left,Thru,Right,,,Left,Thru,Right,,,Left,Thru,Right,,
,"5:00 PM - 6:00 PM",34,230,54,43,,51,217,61,101,,79,631,61,30,,35,550,87,35,
,,"Northbound Bicyclists",,,,,"Southbound Bicyclists",,,,,"Eastbound Bicyclists",,,,,"Westbound Bicyclists",,,,
,"PEAK HOUR",Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus
,"5:00 PM - 6:00 PM",1,2,0,0,0,0,1,0,0,0,1,8,3,2,1,0,8,1,0,0
,,,,,,,,,,,,,,,,,,,,,
,,PHF,,,,,,"38th Avenue",,,,,,,,,,,,,
,AM,0.94827586206897,,,,,,Veh,61,217,51,,,,,,,,,,
,,,,,,,,Bikes,0,1,0,,,,,,,,,,
,,,,,,,,,,,,,Bikes,Veh,,,,,,,
,,,,,,79,1,,,,,,1,87,,,,,,,
,,"Foothill Boulevard",,,,631,8,,,,,,8,550,"Foothill Boulevard",,,,,,
,,,,,,61,3,,,,,,0,35,,,,,,,
,,,,,,Veh,Bikes,,,,,,,,,,,,,,
,,,,,,,,,1,2,0,Bikes,,,,,,,,,
,,,,,,,,,34,230,54,Veh,,,,,,,,,
,,,,,,,,"38th Avenue",,,,,,,,,,,,,
