,,,,,,,,"Turning Movement Report",,,,,,,,,,,,,
,,,,"Metro Traffic Data Inc.",,,,,,,,,,,,,,,,,
,,,,"310 N. Irwin Street - Suite 20",,,,,,,,,,,,,,,,,
,,,,"Hanford, CA 93230",,,,,,,,,,,"Prepared For:",,,,,,"Debbie Yueh"
,,,,,,,,,,,,,,,,,,,,,"Kittelson Associates, Inc."
,,,,"800-975-6938  Phone/Fax",,,,,,,,,,,,,,,,,"180 Grand Avenue, Suite 250"
,,,,www.metrotrafficdata.com,,,,,,,,,,,,,,,,,"Oakland, CA 94612"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,LOCATION,"Mandela Parkway @ 7th Street",,,,,,,,,LATITUDE," 37.804995°",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,COUNTY,Alameda,,,,,,,,,LONGITUDE,-122.293599°,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"COLLECTION DATE",2012/09/13,,,,,,,,,WEATHER,"Sunny and Clear",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"Northbound Vehicles",,,"N-Leg Peds",,"Southbound Vehicles",,,"S-Leg Peds",,"Eastbound Vehicles",,,"E-Leg Peds",,"Westbound Vehicles",,,"W-Leg Peds",
,Time,Left,Thru,Right,,,Left,Thru,Right,,,Left,Thru,Right,,,Left,Thru,Right,,
,"4:00 PM - 4:15 PM",4,28,13,7,,3,6,3,6,,12,62,8,0,,16,41,18,6,
,"4:15 PM - 4:30 PM",5,27,18,4,,14,3,5,12,,8,72,3,8,,21,51,15,4,
,"4:30 PM - 4:45 PM",2,19,11,5,,25,5,4,6,,11,63,10,2,,15,48,13,4,
,"4:45 PM - 5:00 PM",5,33,15,7,,35,15,3,7,,10,76,9,6,,28,44,17,3,
,"5:00 PM - 5:15 PM",7,31,33,9,,36,40,9,10,,9,83,7,3,,25,44,15,1,
,"5:15 PM - 5:30 PM",4,32,24,6,,26,28,7,14,,9,59,6,1,,26,45,18,5,
,"5:30 PM - 5:45 PM",6,27,19,10,,34,23,9,9,,11,74,3,10,,13,47,20,0,
,"5:45 PM - 6:00 PM",5,21,16,8,,25,17,3,8,,13,66,5,4,,18,37,14,1,
,TOTAL,38,218,149,56,,198,137,43,72,,83,555,51,34,,162,357,130,24,
,,,,,,,,,,,,,,,,,,,,,
,,"Northbound Bicyclists",,,,,"Southbound Bicyclists",,,,,"Eastbound Bicyclists",,,,,"Westbound Bicyclists",,,,
,Time,Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus
,"4:00 PM - 4:15 PM",0,1,0,0,0,0,1,0,0,0,1,0,0,1,2,0,1,0,1,0
,"4:15 PM - 4:30 PM",0,3,0,0,0,0,0,1,0,0,5,1,0,1,0,0,2,0,1,0
,"4:30 PM - 4:45 PM",0,2,0,0,0,0,1,1,0,0,3,3,0,0,3,0,2,0,1,0
,"4:45 PM - 5:00 PM",0,1,0,0,0,0,2,0,0,0,0,3,1,1,0,1,1,0,0,0
,"5:00 PM - 5:15 PM",0,4,0,0,0,0,1,1,2,0,5,1,0,3,0,0,2,0,1,0
,"5:15 PM - 5:30 PM",0,6,0,0,0,0,6,1,0,0,1,0,0,0,0,0,1,1,0,0
,"5:30 PM - 5:45 PM",0,9,0,0,0,1,3,1,1,0,5,2,0,1,0,0,1,0,0,0
,"5:45 PM - 6:00 PM",0,3,0,0,0,0,4,0,1,0,0,6,1,3,0,0,0,1,1,0
,TOTAL,0,29,0,0,0,1,18,5,4,0,20,16,2,10,5,1,10,2,5,0
,,,,,,,,,,,,,,,,,,,,,
,,"Northbound Vehicles",,,"N-Leg Peds",,"Southbound Vehicles",,,"S-Leg Peds",,"Eastbound Vehicles",,,"E-Leg Peds",,"Westbound Vehicles",,,"W-Leg Peds",
,"PEAK HOUR",Left,Thru,Right,,,Left,Thru,Right,,,Left,Thru,Right,,,Left,Thru,Right,,
,"4:45 PM - 5:45 PM",22,111,92,33,,121,108,28,41,,42,282,21,18,,82,173,67,7,
,,"Northbound Bicyclists",,,,,"Southbound Bicyclists",,,,,"Eastbound Bicyclists",,,,,"Westbound Bicyclists",,,,
,"PEAK HOUR",Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus
,"4:45 PM - 5:45 PM",0,22,0,0,0,1,14,3,4,0,11,9,1,7,0,0,4,2,2,0
,,,,,,,,,,,,,,,,,,,,,
,,PHF,,,,,,"Mandela Parkway",,,,,,,,,,,,,
,AM,0.88421828908555,,,,,,Veh,28,108,121,,,,,,,,,,
,,,,,,,,Bikes,3,14,1,,,,,,,,,,
,,,,,,,,,,,,,Bikes,Veh,,,,,,,
,,,,,,42,11,,,,,,2,67,,,,,,,
,,"7th Street",,,,282,9,,,,,,4,173,"7th Street",,,,,,
,,,,,,21,1,,,,,,0,82,,,,,,,
,,,,,,Veh,Bikes,,,,,,,,,,,,,,
,,,,,,,,,0,22,0,Bikes,,,,,,,,,
,,,,,,,,,22,111,92,Veh,,,,,,,,,
,,,,,,,,"Mandela Parkway",,,,,,,,,,,,,
