TURNING MOVEMENT COUNTS REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,5/24/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North-South Streetname:,Franklin St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East-West Streetname:,12th St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwest-Northeast Streetname:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast-Northwest Streetname:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City:,Oakland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State:,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Collection Firm:,"Quality Counts, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job Number:,10764702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count Methodology:,videotaped and manually compiled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weather:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File Path:,\\PWAFILE2\Databases\Traffic_Counts\Data (formatted)\Turning Movement Counts\10764702 - Franklin St -- 12th St.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL-VEHICLE VOLUMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Period,SB Left,SB Thru,SB Right,SB U-Turn,SB RTOR,WB Left,WB Thru,WB Right,WB U-Turn,WB RTOR,NB Left,NB Thru,NB Right,NB U-Turn,NB RTOR,EB Left,EB Thru,EB Right,EB U-Turn,EB RTOR,,,,,,,,,,,,,,,,,,,,,Total,Hourly Totals
4:00 PM,0,0,0,0,0,0,38,4,0,0,9,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,57,
4:05 PM,0,0,0,0,0,0,44,8,0,0,10,15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,77,
4:10 PM,0,0,0,0,0,0,43,3,0,0,17,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,73,
4:15 PM,0,0,0,0,0,0,39,3,0,0,10,18,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,70,
4:20 PM,0,0,0,0,0,0,43,12,0,0,5,11,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,71,
4:25 PM,0,0,0,0,0,0,34,5,0,0,6,11,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,56,
4:30 PM,0,0,0,0,0,0,35,8,0,0,9,13,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,65,
4:35 PM,0,0,0,0,0,0,41,9,0,0,11,15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,76,
4:40 PM,0,0,0,0,0,0,37,7,0,0,17,20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,81,
4:45 PM,0,0,0,0,0,0,44,11,0,0,10,14,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,79,
4:50 PM,0,0,0,0,0,0,29,10,0,0,10,13,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,62,
4:55 PM,0,0,0,0,0,0,57,9,0,0,8,12,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,86,853
5:00 PM,0,0,0,0,0,0,39,4,0,0,7,15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,65,861
